article	simple	complex
Ant	1363	1671
Scissors	89	4237
Malcolm IV of Scotland	47	8250
David I of Scotland	24	1552
Saint Margaret of Scotland	64	1664
Alexander I of Scotland	51	7524
Henry I of England	182	1264
Matilda of Flanders	84	984
Robert II of France	62	2921
Adelaide of Aquitaine	31	1003
Gothic architecture	4821	919
Cathedral	405	108
Patron saint	47	7518
Saint David	15	5088
Saint George	748	63
Saint Andrew	61	1689
Saint Patrick	303	4599
Somerset	349	2623
Glastonbury	94	4800
Glastonbury Abbey	53	7486
Somerton	57	6576
Bridgwater	18	2356
Street	120	1582
Taunton	65	6618
Shepton Mallet	47	3081
Bath, Somerset	314	5310
Wells	64	7238
Tatworth	37	8022
Crewkerne	112	3495
River Tone	39	593
River Yeo	45	2620
River Adur	32	3801
River Aire	66	65
River Aln	26	408
River Alt	90	313
River Yare	150	134
River Exe	40	129
South Cadbury	138	1432
Watchet	199	567
Burnham-on-Sea	20	789
Cheddar	108	1109
Yatton	73	3354
Backwell	64	3830
Clevedon	102	2654
Weston-super-Mare	12	1525
South Somerset	35	3050
Template:Welcome	76	5598
Ankara	99	172
Johannes Gutenberg	490	106
Elizabeth I of England	1574	7257
Cate Blanchett	64	3661
Kylie Minogue	293	9731
Natalie Imbruglia	23	1822
Nicole Kidman	209	8519
Hugh Jackman	59	3170
Mel Gibson	70	3777
Natalie Portman	109	2858
Alyson Hannigan	114	6271
Jessica Alba	1481	3452
Brad Pitt	53	673
Jennifer Aniston	81	3158
Jennifer Love Hewitt	419	6106
Katie Holmes	70	3088
Sigourney Weaver	83	2651
Audrey Hepburn	480	4579
Katharine Hepburn	226	1551
God Save the Queen	190	7458
Lion	1109	5062
Galatasaray S.K.	75	6311
B	14	11075
C	13	1273
D	13	559
E	25	1774
F	10	418
G	14	651
H	14	378
I	27	1517
J	25	1735
K	14	456
L	14	1186
M	14	642
N	14	538
O	14	257
P	14	422
Q	61	573
R	14	289
S	14	708
T	14	532
U	18	455
V	14	213
W	14	357
X	14	874
Y	53	1486
Z	34	773
Virus	1486	1697
MediaWiki:Sitenotice	241	1699
Heat	325	10098
Shogun	221	207
Bratislava	437	2183
Wellington	136	1611
Biochemistry	394	6691
Sadness	118	6046
Microeconomics	119	4314
Cryptography	353	153
Tuesday	247	1483
Wednesday	47	6738
Thursday	34	748
Friday	138	1248
Saturday	68	1906
Laos	212	2405
Amaterasu	537	1374
Organism	169	4383
Kinetic energy	142	559
Potential energy	334	3113
Ship	547	2585
Boat	68	3090
Navy	196	9260
Air force	118	1648
Adware	240	4010
Gender	49	1494
Category:Internet	6	509
Dutch language	1066	9032
Creative Commons licenses	160	168
Category:Foods	7	8621
Category:Physics	9	592
Marshall Islands	140	24
Alphabet	675	81
County	1376	2928
New York University	28	4480
Bee	670	3743
Dragonfly	949	8206
Wind	628	4349
Vertebrate	64	1174
Category:Dogs	28	7787
Category:People	7	1321
Singapore	2600	28
Johannesburg	152	33
Breakfast	83	6144
Town	849	8000
Condensed matter physics	33	4475
Bag	130	7379
Julius Caesar	2153	407
Sapporo	59	7
Hokkaido	172	8204
Hinduism	3803	3898
HernÃ¡n CortÃ©s	613	2593
Atheism	1891	7144
Hippocrates	228	6798
Harvest	36	7273
ELISPOT	176	3419
Category:Biochemistry	10	615
Aztec	673	582
Category:Numbers	40	43
Richard Nixon	1212	7353
Gerald Ford	501	36
John Kerry	124	13744
White blood cell	532	12065
Lymphocyte	627	10021
Author	149	1039
Pedipalp	129	1152
Ionic compound	67	1944
ELISA	145	376
David Hume	478	587
Brush	277	1791
Starch	230	7199
Thomas Hobbes	478	1017
Nicomachus	12	2824
Logo	242	3994
Building	632	453
Candle	348	2546
Salamander	697	687
Newt	369	2482
Poison	493	1529
Larva	409	1284
Amphibian	235	1189
Father	202	283
Gill	125	1928
Chemical compound	366	976
Wood	454	1626
Chalk	377	1030
Utilitarianism	114	6155
Village	397	503
Chelmsford	600	5803
Gangnihessou	88	4427
Tomorrow	42	7717
Contract bridge	36	323
No	62	11
Leon Trotsky	347	9909
Second International	145	12
Devon	869	12418
Insectivore	87	533
Vapor	47	5036
Vehicle	156	435
Line dance	42	592
Three Kingdoms of Korea	150	269
EckernfÃ¶rde	69	1631
Archduke Franz Ferdinand of Austria	87	1856
Black Hand	124	217
Autarky	73	2377
Bonsai	991	2666
Chastity belt	63	726
Mount Arafat	50	6230
Ariel Sharon	244	1096
Syria	178	305
Psychology	803	6645
Louisiana	182	12392
Synonym	82	6539
Yosa Buson	186	11762
Chopsticks	1020	499
Telephone	380	345
Kobe	464	1305
Oradea	946	3885
Henry Ford	597	2624
George Orwell	438	2590
Genghis Khan	800	7583
Joseph Stalin	1002	14631
Antigua and Barbuda	32	10130
San Marino	194	14998
Philippe's	109	3562
Funeral	306	5722
Georgian Uprising of Texel	442	1029
Neutrino	356	8553
Phrasal verb	312	1261
Season	522	6548
Carisbrooke Castle	201	855
Atlantis	286	2850
Comparative	211	1103
Asbestos	115	4099
Syllable	181	791
Umbrella	44	7760
Usenet	504	1703
Diagonal	66	4218
Kwashiorkor	112	5523
North Sea	1112	810
Anne Frank	1892	815
Jan Peter Balkenende	94	5700
Toleration	40	7664
William the Silent	268	1579
SimÃ³n BolÃ­var	76	5271
Pythagorean theorem	291	4963
Temperature	426	4110
Tux	96	5602
Mein Kampf	315	5575
Computer graphics	388	791
FC Bayern Munich	51	5356
Cape of Good Hope	77	4369
Hand washing	383	5931
Venezuela	364	2012
Saudi Arabia	305	3371
Colombia	1471	8802
Abel Tasman	407	12534
Artificial intelligence	249	9645
Programmer	212	1931
Programming language	1357	7148
Visual Basic	359	1819
Booting	264	4879
Tea	292	1544
Interlingua	358	4534
World	54	6853
Azerbaijan	208	4929
Actor	551	1183
Ptolemy	503	10971
Moctezuma II	195	1459
Antonio LÃ³pez de Santa Anna	106	2886
Granzyme	36	3643
Baseball	2245	3361
Names of God in Judaism	191	314
Football League Championship	37	11088
Birmingham	109	6389
Richmond, Virginia	86	1113
American Civil War	3279	8624
Tutankhamun	384	10771
Independence	285	12578
Anubis	503	3311
Atum	103	519
Antisemitism	48	871
Esteban Huertas	99	667
Panama	167	13717
Spanish language	510	257
Stephen Hawking	174	10345
Czech Republic	322	6424
Flag	41	4423
Karaite Judaism	102	7207
Warship	156	2783
Coast guard	77	8608
Samba	489	1622
Nuclear weapon	848	3420
ChojnÃ³w	290	5328
Comics	201	4081
Diamond	337	405
Thanksgiving	499	5935
Nobel Prize	235	7655
Collision detection	96	1508
Berkeley Software Distribution	76	6209
Jacques Cartier	301	3598
Vasco da Gama	420	2956
Kayseri	56	2770
Iodised salt	119	3488
College	90	2006
Knife	155	1019
Category:Politics	7	7840
Nyngan, New South Wales	195	2190
Photographic film	439	47
Category:Medicine	9	285
Ferdinand Magellan	302	2610
Henry the Navigator	81	48
Concrete	215	4526
Category:Astronomy	10	1851
Category:Days	18	6317
Marathon	180	51
Category:Literature	8	34
Category:Nature	30	5917
Holy Roman Empire	308	18
Friesland	158	115
Groningen (province)	130	6651
Duke	80	524
Middle Ages	1513	335
Louis Bonaparte	602	3858
Michiel de Ruyter	82	8783
Karel Doorman	162	1508
The Star-Spangled Banner	429	2420
Abdou Diouf	29	1304
Province	93	3449
Category:Months	8	1049
Category:Ukrainian people	8	1919
Viktor Yushchenko	218	118
Viktor Yanukovych	283	29
Category:Stars	28	5248
Salt	757	7615
Business	212	8
Winter	102	3963
Category:Russian people	13	1665
Nezahualcoyotl	38	1911
Death penalty	532	11
Kofi Annan	452	1295
United Nations General Assembly	77	13
Mining	241	2966
Bomber	230	2210
Huntingdon Life Sciences	148	5767
Huntingdon	74	1694
Condom	845	1915
Osaka	385	1179
Category:Saints	10	8044
Piano	1384	4795
Channel Islands	174	17
Hedonism	228	7364
Shinkansen	717	3875
Copper	1038	2016
Prince	108	3981
Princess	78	6170
Ore	50	3540
Gainesville, Florida	124	353
University of Florida	88	603
X-Men	204	4326
Iron Man	98	8680
Andris Piebalgs	173	3373
Category:Chilean people	14	7984
Augusto Pinochet	279	1076
Plasma (physics)	250	4
Dan Aykroyd	166	7938
John Belushi	184	1739
The Blues Brothers	1060	3625
Arnhem	361	2014
Bronbeek	97	3711
David Bowie	562	1772
Category:Italian people	11	100
Benito Mussolini	619	11449
Puppet state	147	9
Banana republic	221	13432
Kingdom of Holland	44	1578
Alter ego	55	1330
Michael Schumacher	564	763
Yokohama	244	982
Icelandic language	169	10158
Passu	53	1736
Equator	138	2488
Rocket	218	2400
Advisor	97	1233
Rendsburg	15	8917
Jacques Chirac	40	23
Mario Jeckle	255	331
Category:Wars	20	7389
Eighty Years' War	39	259
MacGyver	118	61
Quark	343	23012
Northern Hemisphere	16	3173
Messiah	235	4611
MediaWiki:Sitesupport-url	1	623
CÃ©sar ChÃ¡vez	324	3355
Hamilton, Ontario	1679	1
Shape	148	3147
Pen	208	5106
Leet	564	840
Waterfall	110	1262
Garden	686	3153
Great Zimbabwe	261	652
Machu Picchu	357	781
Journal	50	2658
Mac OS X	273	3715
Apple Inc.	923	131
Soil	229	5871
Humidity	35	7575
Quantum mechanics	4909	4882
Duisburg	31	2873
Kuopio	123	6831
Feces	111	1978
Catholicism	998	1157
Dictatorship	78	1478
Electricity	1326	5088
Sailor Moon	881	716
Anesthetic	126	6521
Fidel Castro	338	7361
Latin America	142	1828
Washington, D.C.	960	11466
President of the United States	108	7909
1948	15	9683
1949	15	6530
1950	16	25
J. R. R. Tolkien	321	25
Adolescence	287	44
KDE	147	10795
Saxophone	253	3897
Bryophyte	131	4363
Gavrilo Princip	456	4595
Formula	150	958
Musician	156	1665
Carrot	76	802
Conservatism	163	27
Machine	108	1873
Wario Land 4	57	6100
Mrs. Doubtfire	241	277
Epistemology	136	887
Friends	51	1746
Seinfeld	43	5062
Joey (TV series)	117	7930
Eastern Orthodox Church	485	5491
Lisgar Collegiate Institute	77	895
Aberdeen	226	17857
Psoriasis	32	1444
H. G. Wells	76	7646
Glasgow	430	6097
Grampian	53	4962
Scottish Borders	36	12406
Central Region, Scotland	29	63
Dumfries and Galloway	40	855
Fife	34	160
Lothian	11	1044
Strathclyde	46	2079
Tayside	50	921
Dundee	144	611
Oxford	119	123
George VI of the United Kingdom	175	6527
Zoroastrianism	554	4668
Science Olympiad	32	4648
Lemonade	188	8661
Melting	71	2297
Onomatopoeia	64	1049
September 11	40	502
Essex	107	1097
County town	104	24
Southend-on-Sea	116	3436
Cumbria	210	362
Bob Dylan	325	2642
Diana Ross	144	3042
Enid Blyton	507	13795
Dragon	143	6163
Inertia	102	3425
Sherlock Holmes	814	2693
York	157	3406
North Yorkshire	164	10460
Pig Latin	134	7978
Binary numeral system	152	1704
Paper Mario: The Thousand-Year Door	229	631
Nickname	141	3813
Martin Luther King, Jr.	951	2408
Jumanji	77	1441
Neopets	475	9345
Freak the Mighty	1147	485
Daniel Handler	169	4474
Global warming	1134	1065
House music	146	1332
Ammonia	77	5284
Alkali	156	5337
The White Stripes	197	7662
Millennium Dome	273	379
Millennium	63	6003
Hotmail	54	2218
J. K. Rowling	409	1810
Charmed	1229	2614
Seaman	37	6877
Falkland Islands	243	5363
Neil Armstrong	706	844
Samuel Beckett	107	5565
Vegetarianism	578	8699
Jurassic Park: Operation Genesis	115	6688
Terry Gilliam	124	8123
John Cleese	79	2669
Arthur Conan Doyle	188	3806
Ray Charles	145	5481
Jalisco	60	2500
Ferrari	271	4171
Fiat	15	1130
Daihatsu	97	3334
Hydrocarbon	347	7855
Shanghai	136	759
Hunter S. Thompson	84	1207
Uncle John's Bathroom Reader	75	7559
Catalonia	416	8834
Civil engineering	318	817
Comparison	12	5398
Golden Gate Bridge	679	3247
Kitchen	66	24
Software engineering	93	4571
Student	38	5363
Suburb	275	1938
Skyscraper	270	3413
Integer	131	4540
Natural number	149	2971
Leicester	112	1405
Hollywood	160	2413
Saturday Night Live	215	8829
Elvis Presley	285	3365
Sherwood Forest	69	4831
Mount Everest	335	18762
Luanda	107	712
Pepsi	1190	8017
Penguin	527	2096
Cannibalism	125	3660
Halloween	302	4302
Frida Kahlo	327	7612
Fear and Loathing in Las Vegas	684	2969
Graham Chapman	30	2957
Michael Palin	93	2546
Terry Jones	27	2810
New York	245	2960
Rolling Stone	100	1915
Ralph Steadman	26	6469
Tunisia	885	1580
1972	17	617
1979	26	6702
Malaysia	798	62
Mickey Mouse	129	25
HIV	223	10315
Frank Zappa	243	7381
Tasmania	243	9529
M*A*S*H	685	11267
Donald Sutherland	34	7123
Machine gun	266	666
Robin Hood	228	1650
Basketball	947	3508
Folk hero	76	8447
January 1	72	9660
Seth Green	65	201
Ashton Kutcher	51	263
Linus Torvalds	165	1350
Thomas Jefferson	536	1533
Tahiti	70	1449
H. John Heinz III	101	9587
The Tempest	108	3282
Calendar	93	592
Aquilino Pimentel, Jr.	438	8962
Pat Robertson	73	2678
Full House	179	1882
Hot Press	59	3941
Alabama Song	126	3024
The Doors	209	2810
Mickey Gilley	64	388
Jerry Lee Lewis	258	5579
Jimmy Swaggart	424	1715
Johnny Cash	60	3967
Pluto (mythology)	163	3019
Maoism	106	7230
C++	169	9497
Korean War	667	3744
John Landis	15	5259
March 21	26	13495
Edith Massey	123	4615
Statue of Liberty	398	63
Ankst	45	660
1988	16	9404
T. S. Eliot	203	167
Andrew Lloyd Webber	216	74
Bob Kane	28	6661
Batman	631	4325
Val Kilmer	29	1386
Eva Gabor	33	12363
Snoopy	57	3140
John Wilkes Booth	712	522
Annapolis, Maryland	274	4847
Keanu Reeves	203	8870
Kurt Cobain	196	3120
Mikhail Gorbachev	136	2218
Garfield	191	8941
Michael Moore	253	8602
Hawaiian Punch	115	4632
Whale	715	2858
Anchor	1035	416
Light pollution	468	2400
Nintendo	367	5013
SÃ£o Paulo	1012	6841
Tim Burton	104	3696
DVD	599	12762
Submarine	365	5366
Lebanon	162	4366
Alan Alda	139	12532
Sally Kellerman	43	8409
Baghdad	84	2096
Mediterranean Sea	588	381
Shirley Bassey	40	4974
Captain Beefheart	199	4870
C (programming language)	239	3692
Drake &amp; Josh	554	15444
The Amanda Show	186	6083
1983	16	1288
Sally Ride	350	300
Court	122	20
Birth	50	921
Pollution	637	911
Map	191	47
Globe	544	2935
Noah	269	1893
Ned's Declassified School Survival Guide	122	869
VH1	74	2373
Newspaper	206	833
Public domain	238	8106
Child	206	4550
Nickelodeon	183	1891
Jimmy Carter	312	958
Cannes	54	38
Theodore Roosevelt	716	9026
Composer	243	1707
Cannes Film Festival	69	10540
Henry VIII of England	1469	383
Orchestra	1948	1363
Homosexuality	2194	9558
Dwight D. Eisenhower	635	3823
Ferrocement	61	10943
Camera lens	244	8490
Boy	422	704
Paul McCartney	621	13445
John Lennon	1787	2698
Invention	152	9569
Genocide	297	12234
Yoko Ono	962	3818
Coast	179	5616
George Harrison	790	8222
Note	5	2333
Ravi Shankar	98	9422
James Joyce	243	2356
Andes	1256	2663
Meal	310	5749
Leipzig	586	3436
Evil	329	461
1872	10	3568
PoznaÅ	36	2804
Cartoonist	54	38
Jim Henson	62	4672
Game Boy Advance Video	75	729
Butterfly	1784	4415
Nazism	874	606
Pork	68	4310
Mike Farrell	51	11732
Beauty and the Beast	172	2408
Wayne Rogers	119	1182
McLean Stevenson	138	1451
Friedrich Georg Wilhelm von Struve	332	1127
Wikipedia:Bots	390	1279
Mario Party	74	932
Helsinki	225	390
Jehovah's Witnesses	780	1072
Wife	190	3877
Catherine Parr	448	6917
Queen (band)	113	2936
Madagascar	323	4796
Board game	71	8780
Aerosmith	59	10531
Brighton	43	1341
Vincent van Gogh	876	8700
Rainbow	182	4349
Central Intelligence Agency	395	9731
1975	16	5216
Thomas Dolby	28	9767
Seismic retrofit	38	50
Rio de Janeiro	477	3901
Andrew Jackson	430	6077
Pillow	90	10971
Whaler	75	6735
Crayon	58	1590
Self-defense	50	222
1913	16	3735
Dodgeball	202	1678
Local area network	128	37
Pharaoh	137	1640
Gilligan's Island	115	962
Diaper	276	1680
Category:Comedy television series	12	3277
1954	16	5551
American Samoa	133	27
Disgust	40	25
Oven	178	3762
Liquid	293	1107
White	185	1681
French Guiana	135	2729
Nigger	154	2504
Biography	233	3306
January 3	48	5552
Ralph Nader	104	1973
Jamie Farr	102	22
Free software	727	4819
Zookeeper	61	1248
Toddler	87	2996
Ronald McDonald	118	2650
Bob Marley	372	1000
Leonardo DiCaprio	73	1051
John Candy	32	3686
Erwin Rommel	1241	4592
Flower	834	1676
Square kilometre	82	13325
Judge	307	4688
Length	116	73
Weight	136	2567
Truth	321	655
Zimbabwe	232	3727
Monaco	337	7890
Ken Jennings	182	11467
Malcolm McDowell	38	4735
Traverse City, Michigan	46	3905
Will Smith	110	1695
Vladimir Putin	379	3076
Henry VII of England	852	1680
Tonbridge	57	13582
Inverness	63	4074
Boycott	229	3153
King Arthur	408	5235
Johnny Appleseed	541	2250
Compact Disc	258	7182
Maidstone	294	3583
C. S. Lewis	163	5913
The Corrs	277	4355
Paula Abdul	58	7266
Douglas Adams	150	3282
Dave Attell	35	4281
Karel Appel	34	6787
Randy Bachman	32	1722
J. M. Barrie	33	718
Riga	65	2422
Pope John Paul II	2668	3798
Marvel Comics	80	3807
Nuclear fission	300	10967
1903	16	4936
Bob Barker	63	8280
Connect Four	50	64
Nintendo DS	599	3915
Sam Neill	72	831
Category:Louisiana	9	5701
Max Planck	308	1564
Jay Leno	191	10
Vancouver	518	4290
Nunavut	103	2537
Steve Martin	923	8587
Richard Attenborough	105	2138
Robin Williams	39	4197
Bamboo	343	1993
Trojan War	622	3305
Cruise ship	198	6055
Windows Media Player	79	10382
Jurassic Park III	126	3363
Laura Dern	85	1727
Michael Crichton	138	2697
Andreas Baader	572	1196
Meher Baba	836	6878
Uno (card game)	138	1783
Electrical engineering	148	5556
Design	75	1202
Star Trek	1497	4044
Tunnel	240	2825
Orphanage	47	5664
London Underground	1661	2858
Democracy Now!	51	3314
Socialist Party (England and Wales)	665	10038
National Union of Teachers	36	673
Socialist Party	79	3699
Dave Grohl	313	458
Embryo	108	146
WordPad	92	4943
Trilogy	81	1405
Synesthesia	473	587
Stanley Kubrick	1937	1460
Kyoto Protocol	364	5863
Jack Nicholson	174	21278
Autism	824	6699
Italian language	362	2940
Namibia	99	7504
Lewis Carroll	133	4407
Category:Births by year	33	6188
Category:Deaths by year	32	6098
Belize	234	20
Michael Landon	44	15
RMS Titanic	418	6574
Steel	656	3743
Luftwaffe	1673	12265
The Velvet Underground	170	3674
John F. Kennedy	618	4772
JyvÃ¤skylÃ¤	40	5073
Alfred Hitchcock	352	14797
Elliott Gould	106	1450
Equation	98	10018
1961	16	831
1968	16	508
Beadle	60	80
Vegetable	236	39
Olivine	46	892
Economy	60	1359
Engine	526	1340
Belarus	105	1966
Steam	128	3516
Steering wheel	24	7448
Netball	76	946
Category:Actors	5	2014
Atomic number	35	10331
Cardinal number	142	17
1960	25	1128
FreeBSD	136	3229
Garry Marshall	177	45
Johnny Weissmuller	103	3818
Priscilla Presley	91	828
1973	16	2762
Canada Dry	68	2394
Ginger ale	113	25
Shaving	45	506
Hygiene	78	937
Spork	98	2934
Vauxhall Astra	227	4256
Ford Ka	145	825
Tower Bridge	453	3154
Steven Spielberg	93	2414
Salvador Allende	1535	3279
Authority	438	9077
Musical instrument	34	5990
Winston Churchill	882	933
Golan Heights	93	5660
Category:Cities in Germany	29	13664
Cambodia	1032	8387
1600	36	35
Adult	97	7015
Colony	136	43
Sonic boom	116	1005
Sikkim	782	397
Spelling bee	79	5902
Birth control	1472	4955
Role-playing game	667	1296
Arabic language	205	4385
Dresden	208	1438
Free will	906	6486
Irrigation	336	6950
Glastonbury Festival	106	8073
Detroit	238	4189
Category:Encyclopedias	6	6413
War communism	133	10217
New Economic Policy	117	15
Hydroelectricity	300	767
Mallaig	35	1549
Cramlington	314	3661
Belfast	72	1182
Power station	39	1002
Reality	145	10174
Mary Shelley	616	2281
Nelson Mandela	388	2488
The Lost World: Jurassic Park	84	10556
Don Quixote	208	9432
Swim	274	2879
Archimedes	1034	4352
Radio	608	13
Vandalism	170	5742
Monopoly (game)	223	5973
IGN	73	1705
Sock	215	6231
Everybody Loves Raymond	110	1753
Lighthouse	141	909
Joan of Arcadia	59	1071
The Game of Life	60	4059
Poster	172	1133
Gretchen Wilson	21	4597
Blue Balliett	141	2821
Eyelash	42	1848
Prague	1469	194
Wallet	111	585
Memory card	147	4810
Chasing Vermeer	58	720
Great Wall of China	470	385
Amazon River	1034	1778
Pyramid	213	2403
Care Bears	186	5261
Bolzano	245	2267
Mary Wollstonecraft	122	5531
Isle of Wight	225	968
Alzheimer's disease	110	6399
Elaine Paige	571	5741
Marti Webb	104	8500
Yahtzee	45	4799
Tim Rice	73	1750
Evita (musical)	111	2873
Sunset Boulevard	44	1020
MoliÃ¨re	266	3837
Becker (TV series)	269	782
Ted Danson	20	4225
Digital camera	90	2393
Cheers	387	1545
Jackie Chan Adventures	47	5091
Stapler	96	6221
Pixar	75	1601
Finding Nemo	103	954
Fibonacci	239	3408
Richard Stallman	143	3221
National Hockey League	363	575
Isaac Asimov	167	3558
Wikipedia:Stub	250	7529
1980	26	8226
1963	16	2422
1977	16	54
March 24	26	10
1907	16	25
1911	16	25
February 24	25	20
1962	16	37
Evolution	6445	75
Bedfordshire	72	21
Wikipedia:Babel	189	10756
American football	792	1463
The Ugly Duckling	165	363
Mockery	79	5270
General relativity	104	1450
Rutland	50	107
Toledo, Ohio	119	8841
The Carpenters	71	2055
Jerry Reed	72	4348
1990	27	9017
Bee Gees	106	2437
Improverts	242	88
Taipei 101	105	7840
Sergio AragonÃ©s	41	259
Lisa Bonet	52	3289
Tobacco	353	2283
Jerusalem	1264	624
Rocky Mountains	80	4278
Brooklyn	171	10298
Cornish language	455	3857
